"Frame #","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q3 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q3 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q3 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q3 / Time"
30,0.998659,0.021985,-0.018449,-0.043099,0.985243,0.115616,0.112699,-0.056816,0.977095,-0.102414,-0.157609,0.099784,0.991561,-0.078391,0.08564,-0.057681,0.98588,0.105516,-0.127812,0.023906
31,0.998652,0.021954,-0.01919,-0.042946,0.985206,0.115503,0.113075,-0.056945,0.977285,-0.101849,-0.156027,0.10098,0.991453,-0.078334,0.085511,-0.05977,0.985877,0.105713,-0.127288,0.025869
32,0.998647,0.021943,-0.01984,-0.042777,0.985146,0.115378,0.113433,-0.057525,0.977461,-0.101154,-0.154598,0.102168,0.991321,-0.078324,0.085356,-0.062153,0.985839,0.106005,-0.12686,0.02813
33,0.998644,0.021962,-0.020367,-0.042576,0.985071,0.115246,0.113744,-0.058441,0.977582,-0.100548,-0.153354,0.103471,0.99117,-0.078362,0.085159,-0.064723,0.985772,0.106373,-0.126513,0.030547
34,0.998645,0.022017,-0.020761,-0.042334,0.984997,0.115109,0.113983,-0.05949,0.977624,-0.10021,-0.152307,0.104937,0.991014,-0.078437,0.084921,-0.067282,0.985689,0.106768,-0.126235,0.032911
35,0.998649,0.022113,-0.021032,-0.042047,0.984938,0.114972,0.114133,-0.060426,0.977585,-0.100242,-0.151454,0.106494,0.990869,-0.078531,0.084663,-0.069591,0.985606,0.107129,-0.126013,0.034995
36,0.998656,0.022253,-0.02121,-0.04172,0.98491,0.114839,0.114195,-0.061029,0.977484,-0.100645,-0.150788,0.107972,0.99075,-0.07863,0.084418,-0.071455,0.985539,0.107403,-0.125837,0.03663
37,0.998665,0.022435,-0.021343,-0.041356,0.984918,0.114712,0.11418,-0.061165,0.97736,-0.101322,-0.150296,0.109147,0.990662,-0.078724,0.084225,-0.072782,0.985499,0.107559,-0.125687,0.037754
38,0.998673,0.022653,-0.021479,-0.040962,0.98496,0.114598,0.114112,-0.06082,0.977256,-0.102102,-0.14997,0.109797,0.990605,-0.078809,0.084115,-0.073595,0.985489,0.107596,-0.125535,0.038416
39,0.998681,0.022893,-0.021657,-0.040543,0.985027,0.1145,0.11402,-0.060094,0.977214,-0.102783,-0.149806,0.109761,0.99057,-0.078882,0.084104,-0.073996,0.985507,0.107536,-0.125351,0.038731
40,0.998688,0.023138,-0.021898,-0.040103,0.985101,0.114425,0.113936,-0.059171,0.977256,-0.103186,-0.149807,0.108999,0.990549,-0.078938,0.084193,-0.074109,0.985547,0.107413,-0.125111,0.038825
41,0.998694,0.023369,-0.0222,-0.039647,0.985167,0.114375,0.113881,-0.058268,0.977381,-0.103207,-0.149972,0.10762,0.990538,-0.078964,0.084369,-0.074034,0.985603,0.107262,-0.124807,0.038791
42,0.9987,0.023567,-0.022546,-0.039177,0.985212,0.11435,0.113865,-0.057587,0.977563,-0.102834,-0.150284,0.105878,0.990536,-0.078944,0.084613,-0.073808,0.98567,0.107103,-0.124455,0.038664
43,0.998707,0.023722,-0.022907,-0.038696,0.985228,0.114348,0.113886,-0.057277,0.97776,-0.102149,-0.150701,0.104119,0.990546,-0.078861,0.084911,-0.073412,0.985742,0.10694,-0.124096,0.038429
44,0.998715,0.023827,-0.023253,-0.038204,0.985214,0.114362,0.113923,-0.057414,0.977927,-0.101302,-0.151163,0.102699,0.990576,-0.078702,0.08525,-0.072789,0.985815,0.106762,-0.123783,0.038052
45,0.998726,0.023888,-0.023558,-0.037698,0.985175,0.114384,0.113946,-0.057996,0.978031,-0.100455,-0.151603,0.101885,0.990628,-0.078468,0.08562,-0.071893,0.985884,0.10656,-0.123571,0.037511
46,0.998739,0.023917,-0.023798,-0.037177,0.985117,0.114404,0.113926,-0.058967,0.978057,-0.099739,-0.151974,0.101783,0.990702,-0.078173,0.086009,-0.070711,0.985944,0.106329,-0.123503,0.036818
47,0.998755,0.023935,-0.023955,-0.03664,0.985049,0.114409,0.11384,-0.060239,0.978011,-0.099213,-0.152268,0.102304,0.990795,-0.077846,0.0864,-0.069282,0.985987,0.106078,-0.123601,0.036046
48,0.998773,0.023965,-0.024017,-0.036083,0.984979,0.114386,0.113681,-0.061721,0.977914,-0.098862,-0.152519,0.103197,0.990897,-0.07752,0.086772,-0.067703,0.986008,0.105817,-0.123864,0.035334
49,0.998793,0.024024,-0.023974,-0.035498,0.98491,0.114326,0.113451,-0.06333,0.977799,-0.098618,-0.15279,0.104113,0.990999,-0.077229,0.0871,-0.066107,0.986001,0.105554,-0.124274,0.034874
50,0.998816,0.024127,-0.02382,-0.034874,0.984848,0.114224,0.113155,-0.064987,0.977702,-0.098396,-0.153153,0.104696,0.991093,-0.076992,0.08736,-0.064612,0.985965,0.105278,-0.124802,0.034843
51,0.998843,0.02428,-0.023545,-0.034196,0.984797,0.114084,0.112796,-0.066605,0.97765,-0.098136,-0.153655,0.104685,0.991179,-0.07681,0.087545,-0.063249,0.985902,0.104966,-0.125431,0.03532
52,0.998872,0.024483,-0.023146,-0.033451,0.984764,0.113916,0.112372,-0.068087,0.977653,-0.097829,-0.154302,0.103995,0.991264,-0.076667,0.087665,-0.06191,0.985816,0.10458,-0.126163,0.03622
53,0.998905,0.024735,-0.022617,-0.032638,0.984754,0.113731,0.111887,-0.069332,0.977697,-0.097522,-0.155061,0.102736,0.991361,-0.076533,0.087754,-0.060372,0.985719,0.10408,-0.12702,0.037306
54,0.99894,0.025029,-0.021963,-0.031771,0.984769,0.113544,0.111357,-0.070263,0.977752,-0.0973,-0.155874,0.101175,0.991483,-0.076379,0.087849,-0.058397,0.985618,0.103441,-0.128024,0.038294
55,0.998977,0.025359,-0.021197,-0.030873,0.984809,0.113365,0.110817,-0.07085,0.977787,-0.097241,-0.156693,0.099618,0.991631,-0.076192,0.087968,-0.055903,0.985521,0.102673,-0.129164,0.039018
56,0.999013,0.025715,-0.020341,-0.029977,0.984865,0.113202,0.110312,-0.071117,0.97778,-0.09738,-0.157494,0.098279,0.991792,-0.075975,0.088092,-0.053074,0.985428,0.101834,-0.130378,0.039549
57,0.999047,0.026085,-0.019425,-0.029112,0.984928,0.113061,0.109887,-0.071125,0.977729,-0.097687,-0.158287,0.097207,0.991945,-0.075752,0.088174,-0.05032,0.98533,0.101016,-0.131557,0.040159
58,0.999078,0.026455,-0.018486,-0.028302,0.984989,0.112942,0.109572,-0.07096,0.977649,-0.098085,-0.159082,0.096309,0.992072,-0.07555,0.088165,-0.048077,0.985222,0.100317,-0.132594,0.041149
59,0.999106,0.02681,-0.017556,-0.027559,0.98504,0.112845,0.109375,-0.070704,0.977561,-0.098495,-0.159857,0.095489,0.992166,-0.075387,0.088047,-0.046598,0.985098,0.099804,-0.133419,0.04266
60,0.999131,0.027136,-0.016663,-0.02688,0.985079,0.112763,0.109281,-0.070437,0.977482,-0.098871,-0.160541,0.094766,0.992227,-0.075264,0.087841,-0.045879,0.984962,0.099498,-0.134017,0.044615
61,0.999154,0.027419,-0.015822,-0.026248,0.985104,0.112689,0.109257,-0.070237,0.977412,-0.099209,-0.161033,0.094294,0.992262,-0.075174,0.087589,-0.045746,0.984818,0.099379,-0.134412,0.04681
62,0.999176,0.027651,-0.015037,-0.025632,0.985115,0.112616,0.109265,-0.070189,0.977348,-0.099524,-0.161237,0.094279,0.992278,-0.075105,0.087327,-0.046007,0.984674,0.099409,-0.134645,0.049054
63,0.999198,0.027829,-0.014306,-0.024995,0.98511,0.112531,0.109274,-0.070386,0.977282,-0.099814,-0.161108,0.094875,0.99228,-0.075054,0.087076,-0.046539,0.984534,0.099542,-0.134753,0.051248
64,0.999221,0.027958,-0.013628,-0.024302,0.985085,0.112418,0.109267,-0.070925,0.977209,-0.100058,-0.160659,0.096124,0.992268,-0.075022,0.086841,-0.047274,0.984399,0.099734,-0.134768,0.053378
65,0.999245,0.028051,-0.013006,-0.023526,0.985036,0.112265,0.109241,-0.071881,0.977126,-0.100217,-0.159958,0.097954,0.992246,-0.075015,0.086625,-0.048129,0.984271,0.099934,-0.134724,0.05544
66,0.99927,0.028119,-0.012445,-0.022653,0.984959,0.112065,0.109207,-0.073284,0.977034,-0.100251,-0.15911,0.100189,0.992223,-0.075029,0.086446,-0.04891,0.984154,0.100078,-0.134674,0.05734
67,0.999296,0.028173,-0.011957,-0.021683,0.984855,0.111825,0.109173,-0.075077,0.976942,-0.100133,-0.158233,0.102568,0.992211,-0.07505,0.086343,-0.049282,0.984062,0.100098,-0.134688,0.05884
68,0.999322,0.028219,-0.011553,-0.020628,0.984731,0.111565,0.109149,-0.077099,0.976862,-0.099868,-0.157435,0.104792,0.99223,-0.075059,0.086367,-0.04886,0.984011,0.099932,-0.13484,0.059608
69,0.999347,0.028263,-0.011243,-0.019506,0.984604,0.111309,0.109137,-0.079089,0.976811,-0.099498,-0.156791,0.106571,0.992286,-0.075041,0.08655,-0.047396,0.984019,0.099562,-0.135166,0.059373
70,0.99937,0.028309,-0.011035,-0.018341,0.984495,0.111085,0.109135,-0.080742,0.9768,-0.099095,-0.156339,0.107703,0.992374,-0.074998,0.086877,-0.044963,0.984086,0.099029,-0.135624,0.058084
71,0.999391,0.028363,-0.010932,-0.017152,0.984428,0.11091,0.109139,-0.081787,0.976831,-0.098748,-0.156078,0.108119,0.992473,-0.07495,0.087274,-0.041997,0.984202,0.098447,-0.136096,0.055961
72,0.999409,0.028436,-0.010929,-0.015954,0.984417,0.11079,0.109147,-0.08207,0.976891,-0.098538,-0.155982,0.107905,0.992557,-0.074936,0.08763,-0.039187,0.984346,0.097973,-0.136418,0.053433
73,0.999423,0.028546,-0.011016,-0.014759,0.984465,0.110716,0.109155,-0.081587,0.976959,-0.098517,-0.156008,0.107267,0.992608,-0.075002,0.087835,-0.037267,0.98449,0.097762,-0.136447,0.051031
74,0.999433,0.028712,-0.011181,-0.013571,0.984561,0.11067,0.109159,-0.08047,0.977016,-0.098694,-0.156098,0.10646,0.992614,-0.075185,0.087814,-0.036792,0.984611,0.097911,-0.136114,0.049262
75,0.999439,0.02895,-0.011414,-0.01239,0.984691,0.110634,0.109149,-0.078937,0.977048,-0.099039,-0.156189,0.105701,0.992569,-0.075501,0.087551,-0.037972,0.984688,0.098423,-0.135465,0.048501
76,0.99944,0.029268,-0.011703,-0.011213,0.984834,0.110594,0.109118,-0.077231,0.977058,-0.099491,-0.15623,0.105124,0.992472,-0.075936,0.087092,-0.040608,0.984702,0.099201,-0.134645,0.048907
77,0.999437,0.02966,-0.012034,-0.010041,0.984975,0.110546,0.109059,-0.07556,0.977053,-0.099976,-0.15619,0.104768,0.99233,-0.076447,0.086522,-0.04416,0.984647,0.100087,-0.13385,0.050362
78,0.99943,0.03011,-0.012391,-0.008876,0.985104,0.110494,0.108976,-0.074069,0.977045,-0.100424,-0.15607,0.104598,0.992166,-0.076975,0.085946,-0.047897,0.984533,0.100918,-0.133256,0.052471
79,0.99942,0.030598,-0.012756,-0.007729,0.985212,0.110441,0.10888,-0.072838,0.977041,-0.100782,-0.155899,0.104545,0.992013,-0.077456,0.085459,-0.051063,0.984387,0.101563,-0.132978,0.054635
80,0.999408,0.031103,-0.013113,-0.006611,0.985297,0.110392,0.108785,-0.071895,0.977045,-0.101022,-0.155721,0.104537,0.991907,-0.077836,0.08513,-0.053059,0.984249,0.101949,-0.133044,0.056217
